[2026-06-27T10:05:10.287Z] ========================================
[2026-06-27T10:05:10.291Z]   智能上传脚本 v2（单张·随机间隔）
[2026-06-27T10:05:10.292Z] ========================================
[2026-06-27T10:05:10.299Z] 总图片: 3891 | 已上传: 1002 | 待上传: 2889
[2026-06-27T10:05:10.299Z] 
[2026-06-27T10:05:16.760Z] [1/2889] 0.0% ✓ 一班一歌一韵一情第三届合唱展演圆满落幕_48.jpg | S:1 F:0 | 0s
[2026-06-27T10:05:27.655Z] [2/2889] 0.0% ✓ 一班一歌一韵一情第三届合唱展演圆满落幕_49.jpg | S:2 F:0 | 11s
[2026-06-27T10:05:38.983Z] [3/2889] 0.1% ✓ 一班一歌一韵一情第三届合唱展演圆满落幕_51.jpg | S:3 F:0 | 22s
[2026-06-27T10:05:45.126Z] [4/2889] 0.1% ✓ 一班一歌一韵一情第三届合唱展演圆满落幕_52.jpg | S:4 F:0 | 32s
[2026-06-27T10:05:58.539Z] [5/2889] 0.1% ✓ 一班一歌一韵一情第三届合唱展演圆满落幕_53.jpg | S:5 F:0 | 42s
[2026-06-27T10:06:10.615Z] [6/2889] 0.2% ✓ 一班一歌一韵一情第三届合唱展演圆满落幕_54.jpg | S:6 F:0 | 54s
[2026-06-27T10:06:23.318Z] [7/2889] 0.2% ✓ 一班一歌一韵一情第三届合唱展演圆满落幕_56.jpg | S:7 F:0 | 67s
[2026-06-27T10:06:35.186Z] [8/2889] 0.2% ✓ 一班一歌一韵一情第三届合唱展演圆满落幕_58.jpg | S:8 F:0 | 79s
[2026-06-27T10:06:42.094Z] [9/2889] 0.3% ✓ 一班一歌一韵一情第三届合唱展演圆满落幕_59.jpg | S:9 F:0 | 88s
[2026-06-27T10:06:55.365Z] [10/2889] 0.3% ✓ 一班一歌一韵一情第三届合唱展演圆满落幕_60.jpg | S:10 F:0 | 99s
[2026-06-27T10:07:06.735Z] [11/2889] 0.3% ✓ 一班一歌一韵一情第三届合唱展演圆满落幕_61.jpg | S:11 F:0 | 110s
[2026-06-27T10:07:18.721Z] [12/2889] 0.4% ✓ 一班一歌一韵一情第三届合唱展演圆满落幕_66.jpg | S:12 F:0 | 123s
[2026-06-27T10:07:30.505Z] [13/2889] 0.4% ✓ 一班一歌一韵一情第三届合唱展演圆满落幕_67.jpg | S:13 F:0 | 135s
